Tree_ID,Site_ID,Site_name,Tree_rep,Date_sampled,Date_cultured_slants,Lat_m,Long_m,Projection,Elevation_ft,Note
Test Sample,Parker,USF Parker,1,2017-03-30,2017-03-30,,,UTM 10S,,guess at culturing date
S1T1,S1,Balboa and 27th,1,2017-04-02,2017-04-04,545194,4181103,UTM 10S,208,guess at lat
S1T2,S1,Balboa and 27th,2,2017-04-02,2017-04-04,545188,4181102,UTM 10S,211,
S1T3,S1,Balboa and 27th,3,2017-04-02,2017-04-04,545200,4181115,UTM 10S,215,
S1T4,S1,Balboa and 27th,4,2017-04-02,2017-04-04,545186,4181117,UTM 10S,215,
S2T1,S2,Montgomery and Washington,1,2017-04-02,2017-04-04,552562,4183306,UTM 10S,38,
S2T2,S2,Montgomery and Washington,2,2017-04-02,2017-04-04,552566,4183277,UTM 10S,42,
S2T3,S2,Montgomery and Washington,3,2017-04-02,2017-04-04,552566,4183277,UTM 10S,42,
S2T4,S2,Montgomery and Washington,4,2017-04-02,2017-04-04,552566,4183277,UTM 10S,42,
S3T1,S3,Burlwood and Los Palmos,1,2017-04-02,2017-04-04,548008,4176547,UTM 10S,587,
S3T2,S3,Burlwood and Los Palmos,2,2017-04-02,2017-04-04,548008,4176547,UTM 10S,587,
S3T3,S3,Burlwood and Los Palmos,3,2017-04-02,2017-04-04,548010,4176550,UTM 10S,604,
S3T4,S3,Burlwood and Los Palmos,4,2017-04-02,2017-04-04,548010,4176550,UTM 10S,605,