Query sequence,Most common phylum-level assignment,Phylum-level assignment,Most common order-level assignment,Order-level assignment,Taxon assignment,otu,otu_references
EUSF00820,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU187,"OTU175,OTU174,OTU181,OTU173,OTU194,OTU179,OTU204,OTU176,OTU177,OTU183,OTU186,OTU200,OTU189,OTU197,OTU180,OTU178,OTU198,OTU193,OTU195,OTU196,OTU291,OTU303,OTU308,OTU292,OTU298,OTU299,OTU296,OTU276,OTU277,OTU273,OTU265,OTU306,OTU287,OTU305,OTU297,OTU261,OTU262,OTU264,OTU415,OTU424,OTU290,OTU294,OTU506,OTU363,OTU429,OTU202,OTU199,OTU304,OTU172,OTU107,OTU212,OTU314,OTU255,OTU108,OTU313,OTU340,OTU293,OTU295,OTU302,OTU936,OTU960,OTU1006,OTU117,OTU171,OTU205,OTU383,OTU474,OTU545,OTU462,OTU475,OTU378,OTU447,OTU246,217_Chaetomium_globosum"
EUSF00821,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU231,
EUSF00822,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU343,
EUSF00988,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU102,
EUSF00824,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU898,
EUSF00825,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU961,
EUSF00827,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU130,
EUSF00740,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU949,
EUSF00578,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU621,
EUSF00579,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU620,
EUSF00576,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU83,
EUSF00577,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU590,
EUSF00574,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU72,
EUSF00575,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU591,
EUSF00573,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU483,
EUSF00571,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU915,
EUSF01621,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU313,
EUSF01152,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU240,
EUSF01151,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU40,
EUSF01622,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU752,
EUSF01157,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU291,
EUSF00710,Ascomycota,Ascomycota,Capnodiales,Capnodiales,939_Capnodium_coffeae,OTU707,
EUSF01627,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU488,
EUSF01626,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU312,
EUSF01250,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU375,
EUSF01251,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU555,
EUSF01252,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU458,
EUSF01253,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU374,
EUSF01254,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU289,"OTU502,OTU654,OTU705,1078_Neurospora_crassa,161_Nectria_haematococca"
EUSF01255,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU373,
EUSF01256,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU206,
EUSF01257,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU521,
EUSF00717,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU600,
EUSF00714,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU209,
EUSF00715,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU13,
EUSF00712,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU534,"OTU529,OTU526,OTU513,OTU423,OTU419,OTU422,OTU497,OTU490,OTU489,OTU695,OTU708,OTU624,OTU593,OTU500,OTU223,OTU397,OTU561"
EUSF00713,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU508,
EUSF00659,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU601,
EUSF00711,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU210,
EUSF00657,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU547,
EUSF00656,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU247,
EUSF00655,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU713,
EUSF00654,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU482,
EUSF00653,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU64,
EUSF00652,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU163,
EUSF00651,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU38,
EUSF00650,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU84,
EUSF00918,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU378,
EUSF00919,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU421,
EUSF00915,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU709,OTU740
EUSF00916,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU152,
EUSF00917,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU225,
EUSF00910,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU422,
EUSF00911,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU113,
EUSF00913,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU182,OTU319
EUSF00889,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU878,
EUSF00789,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU561,
EUSF00788,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU131,
EUSF00785,Ascomycota,Ascomycota,Capnodiales,Capnodiales,939_Capnodium_coffeae,OTU1,"OTU4,OTU6,OTU3,OTU2"
EUSF00784,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU708,
EUSF00787,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU504,
EUSF00786,Ascomycota,Ascomycota,Dothideales,"Dothideales,Capnodiales","274_Dothidea_sambuci,921_Dothidea_insculpta,939_Capnodium_coffeae",OTU30,
EUSF00781,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU657,
EUSF00783,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU246,
EUSF00782,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU303,
EUSF01910,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU706,
EUSF01434,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU59,
EUSF01437,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU967,
EUSF01430,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU101,
EUSF01098,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU783,
EUSF01432,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU95,"OTU101,OTU372,50_Sarcoscypha_coccinea"
EUSF01433,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU862,
EUSF01027,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU222,
EUSF01026,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU360,
EUSF01537,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU802,
EUSF01024,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU529,
EUSF01023,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU478,
EUSF01530,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU49,
EUSF01533,Ascomycota,Ascomycota,Pleosporales,Pleosporales,1037_Westerdykella_cylindrica,OTU720,
EUSF01532,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU52,
EUSF01539,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU317,
EUSF01538,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU429,
EUSF01029,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU477,
EUSF01028,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU263,
EUSF00886,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU479,
EUSF00887,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU271,
EUSF00969,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU395,
EUSF01863,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU674,
EUSF01356,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU710,
EUSF01093,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU473,
EUSF00961,Ascomycota,Ascomycota,Capnodiales,Capnodiales,939_Capnodium_coffeae,OTU3,
EUSF00960,Ascomycota,Ascomycota,Dothideales,"Dothideales,Capnodiales","274_Dothidea_sambuci,921_Dothidea_insculpta,939_Capnodium_coffeae",OTU29,
EUSF00963,Ascomycota,Ascomycota,Dothideales,"Dothideales,Capnodiales","274_Dothidea_sambuci,921_Dothidea_insculpta,939_Capnodium_coffeae",OTU7,
EUSF00962,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU175,
EUSF00965,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU174,
EUSF00964,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU91,
EUSF00967,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU629,
EUSF00966,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU446,
EUSF01860,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU693,
EUSF00620,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU57,OTU56
EUSF01529,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU926,
EUSF01096,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU501,
EUSF01320,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU1009,
EUSF01448,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU145,
EUSF01323,Ascomycota,Ascomycota,Pezizales,Pezizales,"71_Peziza_proteana_f_sparassoides,507_Peziza_vesiculosa",OTU62,"OTU63,OTU61,OTU60,OTU64"
EUSF01324,Ascomycota,Ascomycota,Sordariales,Sordariales,1085_Podospora_anserina,OTU456,
EUSF01325,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU677,
EUSF01078,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU338,
EUSF01441,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU372,
EUSF01440,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU123,"OTU124,OTU96"
EUSF01864,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU661,
EUSF00779,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU973,
EUSF01881,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU672,
EUSF01880,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU660,
EUSF01451,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU215,
EUSF01966,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU1008,
EUSF01964,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU280,
EUSF01965,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU309,
EUSF01962,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU281,"OTU282,OTU1000,OTU1001,OTU331,OTU349,OTU384"
EUSF01963,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU540,
EUSF01960,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU976,
EUSF01961,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU1000,
EUSF01719,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU569,
EUSF00629,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU425,
EUSF01968,Ascomycota,Ascomycota,Lecanorales,Lecanorales,84_Physcia_aipolia,OTU702,
EUSF01718,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU368,
EUSF00864,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU886,
EUSF01715,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU412,
EUSF00866,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU859,
EUSF00867,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU884,
EUSF00860,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU889,
EUSF00861,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU819,
EUSF00862,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU888,"OTU870,OTU898,OTU892,OTU958,OTU959,OTU928,OTU941,426_Monascus_purpureus,196_Mycoblastus_sanguinarius"
EUSF01714,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU142,
EUSF00868,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU129,
EUSF01717,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU388,
EUSF01716,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU870,
EUSF01711,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU389,
EUSF01681,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU487,
EUSF01713,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU939,OTU987
EUSF01712,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU450,
EUSF01814,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU694,
EUSF01214,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU726,
EUSF01215,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU18,
EUSF01216,Ascomycota,Ascomycota,Pleosporales,Pleosporales,940_Pleospora_herbarum,OTU496,
EUSF01217,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU526,
EUSF01210,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU290,
EUSF01211,Ascomycota,Ascomycota,Pezizales,Pezizales,50_Sarcoscypha_coccinea,OTU47,
EUSF01212,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU462,
EUSF01213,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU256,
EUSF00613,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU987,
EUSF00612,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU743,
EUSF00611,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU345,
EUSF00610,Ascomycota,Ascomycota,Sordariomycetes incertae sedis,Sordariomycetes incertae sedis,1081_Magnaporthe_grisea,OTU549,
EUSF00617,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU200,
EUSF00616,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU201,
EUSF00615,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU308,
EUSF00590,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU589,
EUSF00592,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU603,
EUSF00593,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU630,
EUSF00594,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU588,
EUSF00595,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU619,
EUSF00596,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU602,
EUSF00597,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU448,
EUSF00598,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU28,
EUSF00599,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU914,
EUSF00811,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU788,
EUSF00810,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU901,
EUSF00812,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU900,
EUSF00815,Ascomycota,Ascomycota,Pezizales,Pezizales,148_Cheilymenia_stercorea,OTU434,
EUSF00814,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU899,
EUSF00817,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU188,
EUSF00816,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU189,
EUSF00819,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU94,
EUSF00818,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU848,
EUSF00526,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU718,
EUSF01170,Ascomycota,Ascomycota,Eurotiales,Eurotiales,1079_Aspergillus_fumigatus,OTU499,
EUSF01597,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU872,
EUSF01063,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU33,
EUSF01062,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU294,
EUSF01061,Ascomycota,Ascomycota,Helotiales,Helotiales,49_Lachnum_virgineum,OTU935,
EUSF01060,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU258,
EUSF01067,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU22,
EUSF01065,Ascomycota,Ascomycota,Xylariales,Xylariales,51_Xylaria_hypoxylon,OTU293,
EUSF01064,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU23,
EUSF01100,Ascomycota,Ascomycota,Xylariales,Xylariales,63_Xylaria_acuta,OTU118,
EUSF01101,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU441,
EUSF01068,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU930,
EUSF01104,Ascomycota,Ascomycota,Diaporthales,Diaporthales,935_Diaporthe_eres,OTU471,
EUSF01105,Ascomycota,Ascomycota,Xylariales,Xylariales,"63_Xylaria_acuta,51_Xylaria_hypoxylon",OTU971,
EUSF01106,Ascomycota,Ascomycota,Helotiales,Helotiales,59_Botrytis_cinerea,OTU780,
EUSF01261,Ascomycota,Ascomycota,Acarosporales,Acarosporales,1007_Acarospora_laqueata,OTU596,
